topic_order,topic,space_coord,x_plot,aggregate_region_signal,aggregate_region_signal_smooth,region_id,is_region_anchor,k,weighted_region,unweighted_region,changed
39,Operation of the CEP,0.8061085330261665,0.7077185661800908,12.836108623402744,22.141211513504658,3,True,3,3,3,False
40,Multiyear strategic workplan,0.9574516466375907,0.7604580634912677,34.10260168329915,25.462455074697296,3,False,3,3,3,False
41,Marine Acoustics,1.0298722718286557,0.7856949393318449,24.868033452390463,27.61372273776778,3,False,3,3,3,False
42,Sub glacial Lakes,1.1767782145132744,0.8368881874706654,33.22735967578521,26.68874664156044,3,False,3,3,3,False
43,State of the Antarctic Environment Report SAER,1.3964970726824937,0.913455015343537,19.20083900007005,23.87496494051972,3,False,3,3,3,False
44,Environmental Domains Analysis,1.6448495999749042,1.0,21.432389285788883,21.84417469887596,3,False,3,3,3,False
0,Educational issues,-1.224785518434747,0.0,57.73830292983917,63.14286420610913,1,False,4,1,1,False
1,Science issues,-1.0611708974648983,0.0570158275246239,67.00003128296309,69.9249790330659,1,False,4,1,1,False
2,Opening statements,-1.0159051367967675,0.072789875025554,103.3443464386785,69.97145324658622,1,False,4,1,1,False
3,Exchange of Information,-0.9045666995994536,0.1115886883252106,32.356490132256894,60.379943231835384,1,True,4,1,1,False
4,Operation of the Antarctic Treaty system The Secretariat,-0.869182845307452,0.1239191250643634,62.373229891787986,51.96400914891576,1,False,4,1,1,False
5,Operation of the Antarctic Treaty system General,-0.7232621068853018,0.1747690528081454,46.36501998084176,46.05198338432343,1,False,4,1,1,False
6,Environmental Monitoring and Reporting,-0.6832459090036015,0.1887137517787509,28.445901353841595,41.73000646309095,1,False,4,1,1,False
7,Operation of the Antarctic Treaty system Reports,-0.6558721545130007,0.1982528580975261,58.58409207000707,39.36086950063475,1,False,4,1,1,False
8,Operational issues,-0.5926031855416222,0.2203005980925824,13.507198490997144,37.28284077603108,1,False,4,1,1,False
9,Safety and Operations in Antarctica,-0.4788076223160047,0.2599556617261369,58.036271115467166,36.012349369698775,2,False,4,2,2,False
10,Environmental Impact Assessment EIA Other EIA Matters,-0.477088748254896,0.2605546487018962,25.663566967242225,32.69950580467611,2,False,4,2,2,False
11,Environmental Protection General,-0.4729289734131545,0.2620042318963083,12.254130976743705,34.404325256079424,2,False,4,2,2,False
12,Biological Prospecting,-0.4419373765024202,0.2728040707719594,66.06587401877925,47.09043378573434,2,False,4,2,2,False
13,Comprehensive Environmental Evaluations,-0.4095273350631356,0.2840982040334893,23.65166223835818,67.96494381562526,2,False,4,2,2,False
14,International Polar Year,-0.3488926931337255,0.3052279433304539,163.65744045196158,83.48188803055824,2,False,4,2,2,False
15,Fauna and Flora_General,-0.3419856514758713,0.3076348840643275,35.668782482863165,77.2064287682022,2,False,4,2,2,False
16,Cooperation with Other Organisations,-0.3301490903760204,0.311759645788881,93.59161628774874,59.66742199765188,2,False,4,2,2,False
17,Management Plans,-0.2577703997960199,0.3369819084088453,10.199992495513106,48.54111757461129,2,False,4,2,2,False
18,Inspections,-0.2264522496201977,0.347895543377593,17.700612427207083,60.31424984359562,2,True,4,2,2,False
19,Liability,-0.1942072652403403,0.3591321581558954,178.0967044323979,74.63265483300935,2,False,4,2,2,False
20,Nonnative Species and Quarantine,-0.1664942994508747,0.3687894715933,20.163428898455884,58.83503954081187,2,False,4,2,2,False
21,Waste management and disposal,-0.1410292972823702,0.377663422851123,17.770451020255607,38.069772871667936,2,False,4,2,2,False
22,Climate Change,-0.1340839193527708,0.3800837228694225,43.657510250803945,33.354835573837704,2,False,4,2,2,False
23,Prevention of marine pollution,-0.0563468623216594,0.4071732495247113,32.47816858241936,32.62122935908558,2,False,4,2,2,False
24,Institutional and legal matters,0.0166359799297504,0.4326060447198917,31.686609208187654,30.11891649869884,2,False,4,2,2,False
25,Marine Protected Areas,0.0641378825470576,0.449159334827253,16.336048217616742,29.593898366652464,2,False,4,2,2,False
26,Emergency report and contingency planning,0.1280744210110086,0.4714397070089904,47.606325469124506,30.10694120921205,2,False,4,3,3,False
27,Repair and remediation of environmental damage,0.1485079878640144,0.4785603220035303,25.080035306028048,24.863391982861195,2,False,4,3,3,False
28,Historic Sites and Monuments,0.1593626198760352,0.4823429046539811,10.764089790092942,16.10518714481367,2,False,4,3,3,False
29,Area Protection and Management Plans General,0.2112252331691105,0.5004157993437484,6.573510794325793,11.112766683707967,2,False,4,3,3,False
30,Mineral resources,0.3497626442026537,0.5486928120359824,11.177029628602384,11.06175431848152,3,False,4,3,3,False
31,Human Footprint and wilderness values,0.3736812174628915,0.5570278693771726,11.842513283223466,13.43783248216025,3,False,4,3,3,False
32,CEP Strategy Discussions,0.3972066554451192,0.5652259283677754,19.52918685048742,15.595909446209628,3,False,4,3,3,False
33,Search and Rescue,0.4345246074566192,0.5782303524397047,15.801552210370216,16.200177889178093,3,False,4,3,3,False
34,Site Guidelines for Visitors,0.4439202173916774,0.5815045003879167,14.9895510935266,17.081903457759218,3,False,4,3,3,False
35,Marine living resources,0.5178293757982102,0.6072600948648526,12.756102896474316,21.362674253782085,3,False,4,3,3,False
36,Specially Protected Species,0.5508368988700214,0.6187624363507289,41.253160475803185,26.23001759712386,3,False,4,3,3,False
37,Tourism and NG_Activities,0.5977218460389705,0.6351007320692914,24.325685297075808,25.735019286318423,3,False,4,3,3,False
38,Drilling,0.8033113114200827,0.706743800577266,20.713503576862077,22.25257523769411,3,False,4,3,3,False
39,Operation of the CEP,0.8061085330261665,0.7077185661800908,12.836108623402744,22.141211513504658,3,True,4,4,4,False
40,Multiyear strategic workplan,0.9574516466375907,0.7604580634912677,34.10260168329915,25.462455074697296,3,False,4,4,4,False
41,Marine Acoustics,1.0298722718286557,0.7856949393318449,24.868033452390463,27.61372273776778,3,False,4,4,4,False
42,Sub glacial Lakes,1.1767782145132744,0.8368881874706654,33.22735967578521,26.68874664156044,3,False,4,4,4,False
43,State of the Antarctic Environment Report SAER,1.3964970726824937,0.913455015343537,19.20083900007005,23.87496494051972,3,False,4,4,4,False
44,Environmental Domains Analysis,1.6448495999749042,1.0,21.432389285788883,21.84417469887596,3,False,4,4,4,False
